,state,participation_act_2017,english,math_act,reading,science,composite_2017,participation_sat_2017,reasoning_2017,math_sat_2017,total_2017,participation_act_2018,composite_2018,participation_sat_2018,reasoning_2018,math_sat_2018,total_2018
0,Alabama,100.0,18.9,18.4,19.7,19.4,19.1,5.0,593,572,1165.0,100.0,19.1,6.0,595,571,1166.0
1,Alaska,65.0,18.7,19.8,20.4,19.9,19.7,38.0,547,533,1080.0,33.0,20.8,43.0,562,544,1106.0
2,Arizona,62.0,18.6,19.8,20.1,19.8,19.6,30.0,563,553,1116.0,66.0,19.2,29.0,577,572,1149.0
3,Arkansas,100.0,18.9,19.0,19.7,19.5,19.3,3.0,614,594,1208.0,100.0,19.4,5.0,592,576,1168.0
4,California,31.0,22.5,22.7,23.1,22.2,22.6,53.0,531,524,1055.0,27.0,22.7,60.0,540,536,1076.0
5,Colorado,100.0,20.1,20.3,21.2,20.9,20.6,11.0,606,595,1201.0,30.0,23.9,100.0,519,506,1025.0
6,Connecticut,31.0,25.5,24.6,25.6,24.6,25.1,100.0,530,512,1042.0,26.0,25.6,100.0,535,519,1054.0
7,Delaware,18.0,24.1,23.4,24.8,23.6,24.0,100.0,503,492,995.0,17.0,23.8,100.0,505,492,997.0
8,District of Columbia,32.0,24.4,23.5,24.9,23.5,24.1,100.0,482,468,950.0,32.0,23.6,92.0,497,480,977.0
9,Florida,73.0,19.0,19.4,21.0,19.4,19.7,83.0,520,497,1017.0,66.0,19.9,56.0,550,549,1099.0
10,Georgia,55.0,21.0,20.9,22.0,21.3,21.3,61.0,535,515,1050.0,53.0,21.4,70.0,542,522,1064.0
11,Hawaii,90.0,17.8,19.2,19.2,19.3,18.9,55.0,544,541,1085.0,89.0,18.9,56.0,480,530,1010.0
12,Idaho,38.0,21.9,21.8,23.0,22.1,22.2,93.0,513,493,1006.0,36.0,22.3,100.0,508,493,1001.0
13,Illinois,93.0,21.0,21.2,21.6,21.3,21.3,9.0,559,556,1115.0,43.0,23.9,99.0,513,506,1019.0
14,Indiana,35.0,22.0,22.4,23.2,22.3,22.5,63.0,542,532,1074.0,32.0,22.5,63.0,542,532,1074.0
15,Iowa,67.0,21.2,21.3,22.6,22.1,21.8,2.0,641,635,1276.0,68.0,21.8,3.0,634,631,1265.0
16,Kansas,73.0,21.1,21.3,22.3,21.7,21.6,4.0,632,628,1260.0,71.0,21.6,4.0,633,631,1264.0
17,Kentucky,100.0,19.6,19.4,20.5,20.1,19.9,4.0,631,616,1247.0,100.0,20.2,4.0,630,618,1248.0
18,Louisiana,100.0,19.4,18.8,19.8,19.6,19.4,4.0,611,586,1197.0,100.0,19.2,4.0,615,595,1210.0
19,Maine,8.0,24.2,24.0,24.8,23.7,24.2,95.0,513,499,1012.0,7.0,24.0,99.0,512,501,1013.0
20,Maryland,28.0,23.3,23.1,24.2,2.3,18.2,69.0,536,524,1060.0,31.0,22.5,76.0,545,535,1080.0
21,Massachusetts,29.0,25.4,25.3,25.9,24.7,25.3,76.0,555,551,1106.0,25.0,25.5,80.0,562,563,1125.0
22,Michigan,29.0,24.1,23.7,24.5,23.8,24.0,100.0,509,495,1004.0,22.0,24.2,100.0,511,499,1010.0
23,Minnesota,100.0,20.4,21.5,21.8,21.6,21.3,3.0,644,651,1295.0,99.0,21.3,4.0,643,655,1298.0
24,Mississippi,100.0,18.2,18.1,18.8,18.8,18.5,2.0,634,607,1241.0,100.0,18.6,3.0,630,606,1236.0
25,Missouri,100.0,19.8,19.9,20.8,20.5,20.2,3.0,640,631,1271.0,100.0,20.0,4.0,633,629,1262.0
26,Montana,100.0,19.0,20.2,21.0,20.5,20.2,10.0,605,591,1196.0,100.0,20.0,10.0,606,592,1198.0
27,Nebraska,84.0,20.9,20.9,21.9,21.5,21.3,3.0,629,625,1254.0,100.0,20.1,3.0,629,623,1252.0
28,Nevada,100.0,16.3,18.0,18.1,18.2,17.6,26.0,563,553,1116.0,100.0,17.7,23.0,574,566,1140.0
29,New Hampshire,18.0,25.4,25.1,26.0,24.9,25.4,96.0,532,520,1052.0,16.0,25.1,96.0,535,528,1063.0
30,New Jersey,34.0,23.8,23.8,24.1,23.2,23.7,70.0,530,526,1056.0,31.0,23.7,82.0,547,547,1094.0
31,New Mexico,66.0,18.6,19.4,20.4,20.0,19.6,11.0,577,561,1138.0,67.0,19.4,16.0,552,540,1092.0
32,New York,31.0,23.8,24.0,24.6,23.9,24.1,67.0,528,523,1051.0,27.0,24.5,79.0,534,534,1068.0
